name,PlantType,maxcap,mincap,opcost,minup,ramp,st_cost,var_om,fix_om,regcost,
50350_G_GEN1,Hydro,14.5,0,0.020216085,0,14.5,0,0,14130,9999,
50352_G_1,Hydro,3.7,0,0.036472308,0,3.7,0,0,14130,9999,
50352_G_2,Hydro,0.3,0,0.042978809,0,0.3,0,0,14130,9999,
50375_G_GEN1,Hydro,1.2,0,0.001669121,0,1.2,0,0,14130,9999,
50393_G_FR1,Hydro,20,0,0.011962954,0,20,0,0,14130,9999,
50393_G_M1,Hydro,8,0,0.041042635,0,8,0,0,14130,9999,
50393_G_RO1,Hydro,2.3,0,0.010070311,0,2.3,0,0,14130,9999,
50393_G_RO2,Hydro,9,0,0.004119748,0,9,0,0,14130,9999,
50400_G_GEN1,Hydro,15.6,0,0.031147984,0,15.6,0,0,14130,9999,
50492_G_3,Hydro,1,0,0.004412894,0,1,0,0,14130,9999,
50546_G_GEN1,Hydro,3.6,0,0.002151321,0,3.6,0,0,14130,9999,
50755_G_GEN1,Hydro,1.9,0,0.015868552,0,1.9,0,0,14130,9999,
50755_G_GEN2,Hydro,0.9,0,0.006150029,0,0.9,0,0,14130,9999,
50892_G_GEN1,Hydro,1.5,0,0.001000571,0,1.5,0,0,14130,9999,
50892_G_GEN2,Hydro,1.5,0,0.010689072,0,1.5,0,0,14130,9999,
50961_G_GEN1,Hydro,4,0,0.025643692,0,4,0,0,14130,9999,
531_G_1,Hydro,7.2,0,0.000751406,0,7.2,0,0,14130,9999,
534_G_1,Hydro,10,0,0.018790489,0,10,0,0,14130,9999,
535_G_1,Combustion Turbine,77,30.8,57.91455044,2,26.334,1965.228991,15.45,7340,9999,
537_G_1,Hydro,3.5,0,0.040890625,0,3.5,0,0,14130,9999,
537_G_2,Hydro,3.5,0,0.0186759,0,3.5,0,0,14130,9999,
537_G_3,Hydro,3.5,0,0.025395516,0,3.5,0,0,14130,9999,
54017_G_U1,Hydro,3.7,0,0.027161221,0,3.7,0,0,14130,9999,
54017_G_U2,Hydro,1.1,0,0.005798695,0,1.1,0,0,14130,9999,
54261_G_3385,Hydro,1.2,0,0.047671506,0,1.2,0,0,14130,9999,
54308_G_1,Hydro,1.2,0,0.015192393,0,1.2,0,0,14130,9999,
54343_G_GEN1,Hydro,22,0,0.03755802,0,22,0,0,14130,9999,
54554_G_GEN1,Hydro,2.5,0,0.044427158,0,2.5,0,0,14130,9999,
54554_G_GEN2,Hydro,2.5,0,0.048805055,0,2.5,0,0,14130,9999,
54554_G_GEN3,Hydro,0.5,0,0.038129622,0,0.5,0,0,14130,9999,
54555_G_GEN1,Hydro,126.5,0,0.004968196,0,126.5,0,0,14130,9999,
54555_G_GEN2,Hydro,126.5,0,0.019109613,0,126.5,0,0,14130,9999,
54653_G_KAN1,Hydro,1.1,0,0.012645901,0,1.1,0,0,14130,9999,
54654_G_KEK1,Hydro,4.9,0,0.046875249,0,4.9,0,0,14130,9999,
55009_G_GEN1,Hydro,2.6,0,0.016364127,0,2.6,0,0,14130,9999,
56090_G_D190,Fossil Waste,0.3,0.12,4.470697562,8,0.135,30.62694531,4.47,37800,9999,
56125_G_4152,Hydro,1,0,0.019229337,0,1,0,0,14130,9999,
56615_G_G100,Hydro,4.4,0,0.004176638,0,4.4,0,0,14130,9999,
56803_G_1,Combustion Turbine,97,38.8,50.53458617,2,33.174,2475.678079,15.45,7340,9999,
56803_G_2,Combustion Turbine,97,38.8,50.51651508,2,33.174,2475.678079,15.45,7340,9999,
56803_G_3,Combustion Turbine,97,38.8,50.50759617,2,33.174,2475.678079,15.45,7340,9999,
56803_G_4,Combustion Turbine,97,38.8,50.52716296,2,33.174,2475.678079,15.45,7340,9999,
57267_G_1,Combustion Turbine,191.8,76.72,59.47528409,3,65.5956,4895.206759,15.45,7340,9999,
57267_G_2,Combustion Turbine,191,76.4,59.47022798,3,65.322,4874.788795,15.45,7340,9999,
57267_G_3,Combustion Turbine,190.6,76.24,59.47600975,3,65.1852,4864.579813,15.45,7340,9999,
57267_G_4,Combustion Turbine,192.3,76.92,59.46340291,3,65.7666,4907.967986,15.45,7340,9999,
57364_G_1,Hydro,2.2,0,0.023690069,0,2.2,0,0,14130,9999,
57364_G_2,Hydro,2.2,0,0.014897712,0,2.2,0,0,14130,9999,
57482_G_CTG1,Combustion Turbine,100,40,50.49503161,2,34.2,2552.245442,15.45,7340,9999,
57482_G_CTG2,Combustion Turbine,100,40,50.52757277,2,34.2,2552.245442,15.45,7340,9999,
57482_G_CTG3,Combustion Turbine,100,40,50.49611657,2,34.2,2552.245442,15.45,7340,9999,
